1, 3.68,
2, 3.68,
3, 3.73,
4, 3.73,
5, 3.73,
6, 3.73,
7, 3.68,
8, 3.68,
9, 3.73,
10, 3.73,
11, 3.73,
12, 3.73,
13, 3.73,
14, 3.73,
15, 3.70,
16, 3.70,
17, 3.76,
18, 3.76,
19, 3.76,
20, 3.76,
21, 3.76,
22, 3.76,
23, 3.71,
24, 3.71,
25, 3.77,
26, 3.77,
27, 3.77,
28, 3.77,
29, 3.77,
30, 3.77,
31, 3.64,
32, 3.63,
33, 3.68,
34, 3.68,
35, 3.68,
36, 3.68,
37, 3.68,
38, 3.68,
39, 3.69,
40, 3.69,
41, 3.75,
42, 3.75,
43, 3.75,
44, 3.75,
45, 3.75,
46, 3.75,
47, 3.68,
48, 3.68,
49, 3.73,
50, 3.73,
51, 3.73,
52, 3.73,
53, 3.72,
54, 3.73,
55, 3.68,
56, 3.68,
57, 3.73,
58, 3.73,
59, 3.73,
60, 3.73,
61, 3.73,
62, 3.73,
63, 3.67,
64, 3.67,
65, 3.71,
66, 3.71,
67, 3.71,
68, 3.72,
69, 3.72,
70, 3.72,
71, 3.70,
72, 3.70,
73, 3.76,
74, 3.76,
75, 3.76,
76, 3.76,
77, 3.76,
78, 3.76,
79, 3.71,
80, 3.71,
81, 3.76,
82, 3.77,
83, 3.77,
84, 3.77,
85, 3.68,
86, 3.69,
87, 3.74,
88, 3.74,
89, 3.74,
90, 3.74,
91, 3.75,
92, 3.75,
93, 3.79,
94, 3.80,
95, 3.80,
96, 3.80,
